# Canales disponibles en las fuentes EPG
# Formato: channel_id | display_name
# Fecha: Wed Apr 29 12:37:50 UTC 2026

51c75f7bb6f26ba1cd00002f | Little Stars Universe
5417a212ff9fba68282fbf5e | GLORY Kickboxing
5421f71da6af422839419cb3 | CNN HEADLINES
545943f1c9f133a519bbac92 | MST3K
5459795fc9f133a519bc0bef | Scripps News
54ff7ba69222cb1c2624c584 | Bloomberg TV+
554158e864526b29254ff105 | FailArmy
55b179af994403942f3061d6 | Newsmax2
55b285cd2665de274553d66f | Sky News
5616f9c0ada51f8004c4b091 | World Poker Tour
56171fafada51f8004c4b40f | Forever Kids
561c5b0dada51f8004c4d855 | Classic Movies Channel
561d7d484dc7c8770484914a | Pluto TV Action
563a970aa1a1f7fe7c9daad7 | Pluto TV Science
569546031a619b8f07ce6e25 | Pluto TV Horror
580e87ff497c73ba2f321dd3 | Funny AF
5812b3a4249444e05d09cc46 | Pluto TV Cars
5812b7d3249444e05d09cc49 | Pluto TV Anime
5812bcc8237a6ff45d16c407 | Spike Pluto TV
5812bd9f249444e05d09cc4e | Naturescape
5812be1c249444e05d09cc50 | Pluto TV True Crime
5812bfbe4ced4f7b601b12e6 | BUZZR
5873fc21cad696fb37aa9054 | Live Music
58af4c093a41ca9d4ecabe96 | BET Cinema
58d947b9e420d8656ee101ab | RiffTrax
58e55b14ad8e9c364d55f717 | Flicks of Fury
59b722526996084038c01e1b | TNA Wrestling
5a4d35dfa5c02e717a234f86 | Pluto TV History
5a4d3a00ad95e4718ae8d8db | Pluto TV Comedy
5a66795ef91fef2c7031c599 | Pluto TV Romance
5a6b92f6e22a617379789618 | CBS News 24/7
5a74b8e1e22a61737979c6bf | FOX Sports
5adf96e3e738977e2c31cb04 | Pluto TV Paranormal
5aea40b35126c2157123aa64 | The New Detectives
5aec96ec5126c2157123c657 | Nosey
5b4e69e08291147bd04a9fd7 | Pluto TV Thrillers
5b4e92e4694c027be6ecece1 | Pluto TV Drama
5b4e94282d4ec87bdcbb87cd | Pluto TV Westerns
5b4e96a0423e067bd6df6901 | Unsolved Mysteries
5b4e99f4423e067bd6df6903 | Gordon Ramsay's Hell's Kitchen
5b4fc274694c027be6ed3eea | Pluto TV Sci-Fi
5b64a245a202b3337f09e51d | Pluto TV Fantastic
5ba3fb9c4b078e0f37ad34e8 | Pluto TV Spotlight
5bb1ad55268cae539bcedb08 | The Pet Collective
5bb1af6a268cae539bcedb0a | Forensic Files
5bb3fea0f711fd76340eebff | Pluto TV Military
5bdcdf1e851dd5632e2c11d1 | QVC
5bee1a7359ee03633e780238 | Dog the Bounty Hunter
5c01df1759ee03633e7b272c | Lucha Libre AAA
5c2d64ffbdf11b71587184b8 | TV Land Sitcoms
5c37d6712de254456f7ec340 | Cold Case Files by A&amp;E
5c393cad2de254456f7ef8c2 | Spike Outdoors
5c665db3e6c01b72c4977bc2 | Pluto TV Cult Films
5c6dc88fcd232425a6e0f06e | Pluto TV Terror
5c6eeb85c05dfc257e5a50c4 | Degrassi
5ca525b650be2571e3943c63 | 80s Rewind
5ca670f6593a5d78f0e85aed | BET Pluto TV
5ca671f215a62078d2ec0abf | Comedy Central Pluto TV
5ca672f515a62078d2ec0ad2 | MTV Pluto TV
5ca673e0d0bd6c2689c94ce3 | Nickelodeon Pluto TV
5ca6748a37b88b269472dad9 | Nick Jr. Pluto TV
5cabdf1437b88b26947346b2 | Pluto TV Backcountry
5cb0cae7a461406ffe3f5213 | Paramount Movie Channel
5cbf6a868a1bce4a3d52a5e9 | Midsomer Murders
5ce4475cd43850831ca91ce7 | Doctor Who Classic
5ce44810b421747ae467b7cd | Antiques Roadshow UK
5ce5a8954311f992edbe1da2 | Logo Pluto TV
5ced7d5df64be98e07ed47b6 | NFL Channel
5cf0622da00ca1e2f6fac712 | EstrellaTV
5cf968040ab7d8f181e6a68b | Cine Premiere
5cf96b1c4f1ca3f0629f4bf0 | Cine en español
5cf96b8f4f1ca3f0629f4bf1 | Investiga
5cf96c0222df39f1a338d163 | Pluto TV Novelas
5cf96cc422df39f1a338d165 | Telemundo telenovelas clásicas
5cf96d351652631e36d4331f | MTV en español
5cf96dad1652631e36d43320 | Comedy Central en español
5d0c16d686454ead733d08f8 | TOTALLY TURTLES
5d14fb6c84dd37df3b4290c5 | Peppa Pig
5d14fc31252d35decbc4080b | Yo! MTV
5d14fd1a252d35decbc4080c | MTV Biggest Pop
5d14fdb8ca91eedee1633117 | MTV Spankin' New
5d3609cd6a6c78d7672f2a81 | MTV Flow Latino
5d40855b3fb0855028c99b6f | DCC: Making the Team
5d40bebc5e3d2750a2239d7e | TV Land Drama
5d48678d34ceb37d3c458a55 | Wild 'N Out
5d48685da7e9f476aa8a1888 | The Challenge
5d486acc34ceb37d3c458a64 | The First
5d51ddf0369acdb278dfb05e | Love &amp; Hip Hop
5d51e2bceca5b4b2c0e06c50 | Black Ink Crew
5d51e791b7dba3b2ae990ab2 | This Old House
5d695f7db53adf96b78e7ce3 | TODAY All Day
5d81607ab737153ea3c1c80e | The Addams Family
5d8beeb39b5d5d5f8c672530 | Pluto TV Lives
5d8bf0b06d2d855ee15115e3 | Pluto TV Reality
5d8d08395f39465da6fb3ec4 | Nickelodeon en español
5d8d164d92e97a5e107638d2 | Cine adrenalina
5d8d180092e97a5e107638d3 | Cine terror
5d93b635b43dd1a399b39eee | Vevo Pop
5da0c85bd2c9c10009370984 | Naruto
5da0d75e84830900098a1ea0 | Vevo Country
